Person ID,Helmet Status,Number Plate
Person 1,❌ No Helmet,ALMIMbl
Person 2,❌ No Helmet,TN:
Person 3,❌ No Helmet,TN:
Person 4,✅ Helmet,TN:
Person 5,✅ Helmet,TN:
Person 1,❌ No Helmet,Not Recognized
Person 2,❌ No Helmet,T
Person 3,❌ No Helmet,42X: Jm}
Person 4,✅ Helmet,TA
Person 5,✅ Helmet,T
Person 1,❌ No Helmet,GT
Person 2,❌ No Helmet,T
Person 3,❌ No Helmet,FF
Person 4,✅ Helmet,F
Person 5,✅ Helmet,Not Recognized
Person 1,❌ No Helmet,No plate detected
Person 2,❌ No Helmet,No plate detected
Person 3,❌ No Helmet,W
Person 1,❌ No Helmet,GT
Person 2,❌ No Helmet,T
Person 3,❌ No Helmet,FF
Person 4,✅ Helmet,F
Person 5,✅ Helmet,Not Recognized
Person 1,❌ No Helmet,SETH
Person 2,❌ No Helmet,Not Recognized
Person 3,❌ No Helmet,Not Recognized
Person 4,✅ Helmet,Not Recognized
Person 5,✅ Helmet,Not Recognized
Person 1,❌ No Helmet,T770083
Person 2,❌ No Helmet,[AASif
Person 3,❌ No Helmet,79A615
Person 4,✅ Helmet,FA61
Person 5,✅ Helmet,TE
Person 1,❌ No Helmet,No plate detected
Person 2,❌ No Helmet,No plate detected
Person 3,❌ No Helmet,Not Recognized
Person 1,❌ No Helmet,Not Recognized
Person 1,❌ No Helmet,Not Recognized
Person 1,❌ No Helmet,Ts81u
Person 1,❌ No Helmet,No plate detected
Person 2,❌ No Helmet,No plate detected
Person 3,❌ No Helmet,No plate detected
Person 1,❌ No Helmet,TW.4S.BK.3002.
Person 2,❌ No Helmet,G
Person 3,❌ No Helmet,PTN.45.BK-.3992
Person 4,✅ Helmet,IT.-45.8K-.3992
Person 5,✅ Helmet,I.-45.8.3992
Person 1,❌ No Helmet,G7
Person 2,❌ No Helmet,TH4S8X39BZ
Person 3,❌ No Helmet,8TN4S8K399Z
Person 4,✅ Helmet,8TN4SBK399Z
Person 5,✅ Helmet,8TN4SBK399Z
Person 1,❌ No Helmet,G7
Person 2,❌ No Helmet,TH4S8X39BZ
Person 3,❌ No Helmet,8TN4S8K399Z
Person 4,✅ Helmet,8TN4SBK399Z
Person 5,✅ Helmet,8TN4SBK399Z
Person 1,❌ No Helmet,TW4SBK3002
Person 2,❌ No Helmet,1TMO8BK3082
Person 3,❌ No Helmet,IT458K3992
Person 4,✅ Helmet,No plate detected
Person 5,✅ Helmet,No plate detected
Person 1,❌ No Helmet,TS81U
Person 1,✅ Helmet,Not Recognized
Person 2,❌ No Helmet,No plate detected
Person 1,❌ No Helmet,No plate detected
Person 2,❌ No Helmet,No plate detected
Person 3,❌ No Helmet,No plate detected
Person 1,❌ No Helmet,TS81U
Person 1,❌ No Helmet,TW.4S.BK.3002.
Person 2,❌ No Helmet,G
Person 3,❌ No Helmet,PTN.45.BK.3992
Person 4,✅ Helmet,TM.45.BK.3992
Person 5,✅ Helmet,1TH.45.8K.3992
Person 1,❌ No Helmet,TW4SBK3002
Person 2,❌ No Helmet,1TMO8BK3082
Person 3,❌ No Helmet,IT458K3992
Person 4,✅ Helmet,No plate detected
Person 5,✅ Helmet,No plate detected
Person 1,❌ No Helmet,No plate detected
Person 2,❌ No Helmet,No plate detected
Person 3,❌ No Helmet,No plate detected
Person 1,✅ Helmet,Not Recognized
Person 2,❌ No Helmet,No plate detected
Person 1,❌ No Helmet,TW4SBK3002
Person 2,❌ No Helmet,1TMO8BK3082
Person 3,❌ No Helmet,IT458K3992
Person 4,✅ Helmet,No plate detected
Person 5,✅ Helmet,No plate detected
Person 1,✅ Helmet,No plate detected
Person 1,✅ Helmet,No plate detected
Person 1,❌ No Helmet,TW.4S.BK.3002.
Person 2,❌ No Helmet,G
Person 3,❌ No Helmet,PTN.45.BK.3992
Person 4,✅ Helmet,TM.45.BK.3992
Person 5,✅ Helmet,1TH.45.8K.3992
Person 1,❌ No Helmet,No plate detected
Person 2,❌ No Helmet,No plate detected
Person 3,❌ No Helmet,No plate detected
Person 1,✅ Helmet,Not Recognized
Person 2,❌ No Helmet,No plate detected
Person 1,✅ Helmet,No plate detected
Person 2,✅ Helmet,No plate detected
Person 1,✅ Helmet,Not Recognized
Person 1,✅ Helmet,Not Recognized
Person 2,❌ No Helmet,No plate detected
Person 1,✅ Helmet,No plate detected
Person 2,❌ No Helmet,No plate detected
Person 1,✅ Helmet,No plate detected
Person 1,❌ No Helmet,Not Recognized
Person 1,✅ Helmet,No plate detected
Person 1,❌ No Helmet,No plate detected
Person 1,✅ Helmet,No plate detected
Person 1,❌ No Helmet,No plate detected
Person 1,❌ No Helmet,Not Recognized
Person 1,❌ No Helmet,No plate detected
Person 1,✅ Helmet,T
Person 1,❌ No Helmet,No plate detected
Person 1,❌ No Helmet,Not Recognized
Person 1,✅ Helmet,T
Person 1,✅ Helmet,No plate detected
Person 1,✅ Helmet,T
Person 1,✅ Helmet,No plate detected
Person 1,✅ Helmet,T
Person 1,✅ Helmet,T
Person 1,✅ Helmet,T
Person 1,✅ Helmet,T
Person 1,❌ No Helmet,TW.4S.BK.3002.
Person 2,❌ No Helmet,G
Person 3,❌ No Helmet,PTN.45.BK.3992
Person 4,✅ Helmet,TM.45.BK.3992
Person 5,✅ Helmet,1TH.45.8K.3992
